id,title,rank,keyword_Location,cluster,clusterLabel
95817505,future is in your hands,61,,other,Other
969333552,China shenzhen Skyscraper,62,Shenzhen|Asia|East Asia,foggy_city,Foggy city
663557818,Hong Kong from air at sun rise,63,Hong Kong Island|Hong Kong|China - East Asia|Kowloon Peninsula|Kowloon|Central District - Hong Kong|Victoria Harbour - Hong Kong,chimney,Chimney
1419930825,Plant pipe high above the clouds. Harmful emissions into the upper atmosphere.,64,,chimney,Chimney
1190968197,Little girl in a dusty room. Air purifier and coughing kid. Dust in the air.,65,Bulgaria,other,Other
108225863,Power Plant Billowing Smoke in Shape of Skull,66,,chimney,Chimney
1191804678,young  woman wear mask in the city during Smog day,67,Taiwan|China - East Asia|Asia,masks,Masks
621936734,Brown Layer of Los Angeles Smog,68,City Of Los Angeles|Los Angeles County,foggy_city,Foggy city
852178834,Air pollution,69,Netherlands|Europe,chimney,Chimney
1198428518,"A woman, on a balcony, wears a face mask to protect herself against very dangerous level of air pollution.  A thick yellow fog coming from the nearby forest fires covers Canberra city.",70,Canberra|Australia|Australian Capital Territory,other,Other
1365105354,Air pollution by coal fired power plant,71,Neurath Power Station|Germany,chimney,Chimney
641214046,"British motorway in a rush hours, in a foggy afternoon",72,England|M1 Motorway - England|UK|London - England,foggy_city,Foggy city
876030044,skyline,73,West Asia|Istanbul|Europe|Asia,foggy_city,Foggy city
669291348,Beijing Urban Skyline in air pollution,74,China World Trade Center|Beijing|China - East Asia,foggy_city,Foggy city
91077387,Air pollution,75,,exhaust,Exhaust
157525380,Coal fueled power station.,76,UK|Ratcliffe Upon Soar|Nottingham,chimney,Chimney
1304758575,Reduction of the amount of CO2 emissions - concept image with CO2 icon text and tree shape in rural scene,77,Italy,other,Other
1292391661,Forest Lung,78,USA,other,Other
1130230018,"Allergy to dust. Boy sneezes because he is allergic to dust. Dust flies in the air backlit by light BANNER, LONG FORMAT",79,,masks,Masks
1127358873,air pollution crisis in city from diesel vehicle exhaust pipe on road,80,Thailand,exhaust,Exhaust
1185641653,Asian man wearing the face mask due to air pollution - Young adult on park with Pollution mask - person protecting from air contamination by wearing mask.,81,South Asia|New Delhi|India,masks,Masks
177030812,Misty industrial landscape aerial.,82,Nottinghamshire|England|UK,chimney,Chimney
1272193101,Seattle in wildfire smoke,83,USA|Seattle,other,Other
1336516211,Panoramic view of heavy traffic in the city,84,Barcelona - Spain|Spain,foggy_city,Foggy city
1226043699,City air pollution. Aerial view of Shanghai from Jinmao tower in China,85,Shanghai|China - East Asia,foggy_city,Foggy city
157524090,Environmental Damage: Air Pollution,86,,chimney,Chimney
861553788,surreal man head in the cloud,87,Italy,other,Other
651352750,Woman measuring airpolution,88,Ukraine,masks,Masks
1310818458,Serious handsome engineer using a laptop while working in the oil and gas industry.,89,,other,Other
1398986965,heavy traffic jam next to bus lane in england uk,90,England,car_traffic,Car traffic
1062243688,"Industrial autumn landscape in the Ruhr, Germany",91,Ruhr|North Rhine Westphalia|Europe|Essen - Germany|Germany,chimney,Chimney
1016687868,Air pollution in the city,92,Latvia,masks,Masks
1333701004,Air Quality Index,93,India,other,Other
1345963037,Asian man wearing the mask when going outdoor to protect him form air pollution,94,Thailand,masks,Masks
1305331962,Pollution And Environment Smog Detector,95,Germany,devices,Devices
959147836,Aerial view of the Eiffel tower in the fog in Paris. City air pollution concept,96,Eiffel Tower - Paris|Paris - France|France,foggy_city,Foggy city
530971073,LA Smoggy Fog,97,California|City Of Los Angeles|Hollywood - California|Los Angeles County|USA,foggy_city,Foggy city
976595098,Aerial foggy view of Milan - pollution issue,98,Italy|Milan,foggy_city,Foggy city
157376514,City Sunset in Smog,99,Asia|Taiwan|Taipei,foggy_city,Foggy city
1321325221,Traffic jam in the city,100,Hamburg - Germany|Germany|Europe,car_traffic,Car traffic
155069374,ventilation system; air condition vent in office ceiling close up,101,,devices,Devices
177875958,Postindustrial Cityscape,102,Manchester - England|Silesia|Liverpool - England,foggy_city,Foggy city
1272077322,"Boy covered mouth with hand, cough, keeping hand on chest",103,India,masks,Masks
876593236,air pollution from dirty and aged vehicle exhaust pipe on road,104,South Korea,exhaust,Exhaust
542833792,Shanghai city,105,Shanghai|China - East Asia|Asia,foggy_city,Foggy city
1155778096,"View of Taj Mahal in early morning fog, Agra, Uttar Pradesh, India",106,Taj Mahal|Uttar Pradesh|India|Agra|Asia,other,Other
476505663,young woman wearing mask in the foggy city,107,Chengdu|Sichuan Province|China - East Asia,masks,Masks
535025335,vent in the office,108,,devices,Devices
1294220621,Morning highway,109,USA|Manhattan - New York City,car_traffic,Car traffic
1185404045,"rooftop view over London on a foggy day from St Paul's cathedral, UK",110,Europe|Central London|Tate Modern|UK|London - England|Tower Bridge,foggy_city,Foggy city
175488719,Los Angeles Downtown Aerial View,111,California|City Of Los Angeles|Los Angeles County,other,Other
178876711,London Skyline on a fresh morning,112,Big Ben|London - England|Houses Of Parliament - London|City Of Westminster - London,foggy_city,Foggy city
183832289,smoke,113,,other,Other
1296495767,Little girl wearing anti virus masks going to school,114,UK,masks,Masks
464435822,Paper Mill Air Pollution,115,Finland|Nordic Countries,chimney,Chimney
174893390,Power plant silhouette,116,,chimney,Chimney
172432772,Hazy morning atmosphere in Bangkok,117,Asia|Southeast Asia|Thailand|Bangkok,foggy_city,Foggy city
1354911636,Thick white smoke from a high brick industrial plant chimney,118,Russia,other,Other
472586580,Smog over Los Angeles at sunset,119,California|City Of Los Angeles|Los Angeles County,foggy_city,Foggy city
517470213,Aerial View of London in the Fog,120,London - England,foggy_city,Foggy city
1213302592,Portrait Of Young Woman With Mask On The Street.,121,Serbia,masks,Masks
1257104856,environmental air pollution concept of smog and cityscape,122,Istanbul|Türkiye - Country,foggy_city,Foggy city
1272914453,Los Angeles Air Pollution,123,California|City Of Los Angeles|USA,foggy_city,Foggy city
182686229,Smokestacks with pollution,124,,chimney,Chimney
1140425249,rush hour,125,Hamburg - Germany|Germany|Europe,car_traffic,Car traffic
479172715,Asian boy wearing mouth mask against air pollution (Beijing),126,Asia|Beijing|China - East Asia,masks,Masks
1293874569,Yatagan thermal power plant and power plant chimneys,127,Türkiye - Country,chimney,Chimney
677868960,Heavy Smoke at Oil Refinery,128,USA,chimney,Chimney
1364045133,Chinese woman in London wearing face mask and waiting for the bus,129,City of London|Central London|UK|London - England,masks,Masks
1195406331,Error message from the cars on board computer warning that diesel particulate filter has problem,130,Finland,devices,Devices
1326017461,DPF - Diesel particulate filter,131,Kyrgyzstan,other,Other
1081582416,Cyclist commuter wearing a pollution-mask in Central London,132,Europe|City of London|UK|London - England|Hackney,other,Other
1213993541,good healthy breathable air. livable cities with good environment.,133,Thailand,devices,Devices
1363240338,"Silhouette of a flying plane over the city, skyscrapers and mountains in the fog, smog",134,Brazil|Rio de Janeiro,foggy_city,Foggy city
1398884897,Hard working engineer on the power station with laptop.,135,Bulgaria,other,Other
962695538,Person Removing Ceiling Air Filter,136,USA,other,Other
998658830,traffic_jam,137,Hamburg - Germany|Germany|Europe,car_traffic,Car traffic
114323919,Polluted smog city,138,Southern Africa|Cape Province|South Africa|Cape Town|Western Cape Province|Africa,foggy_city,Foggy city
1198428451,A man wears a face mask to protect himself against very dangerous level of air pollution.  A thick yellow fog coming from the nearby forest fires covers Canberra city.,139,Canberra|Australia|Australian Capital Territory,masks,Masks
1267218174,Girl with a protective face mask going to school,140,,masks,Masks
910572112,Smog over your home,141,Poland,other,Other
187497997,Removing Air Filter,142,,other,Other
1161614023,Climate Change Protest,143,Canada|Maritime Provinces|North America|Nova Scotia,other,Other
1352020965,winter in Ulaanbaatar,144,Independent Mongolia|Asia|Ulan Bator,foggy_city,Foggy city
1410551652,Aerial view of central business district fog and mist amongst buildings,145,Australia,chimney,Chimney
1266552048,Forest fire wildfire at night time on the mountain with big smoke,146,Thailand,other,Other
1367405992,Traffic idling on forested road,147,Italy,car_traffic,Car traffic
1129614203,"India Gate ,New Delhi, India",148,Delhi|India|New Delhi|India Gate,other,Other
1270066592,Lovely mother embracing daughter making inhalation with a nebulizer,149,South Africa,masks,Masks
903374146,Evening shot of metro train on foggy delhi day,150,Delhi|India|Asia,foggy_city,Foggy city
1420177987,Polluted cityscape in a foggy day,151,Italy,other,Other
1440406750,Dust or dirt from the ventilation grill in the office.,152,,devices,Devices
117148380,Post Apocalyptic Couple,153,Chornobyl,masks,Masks
1320344786,"Bandra Worli Sea Link Bridge, Mumbai.",154,India|Mumbai,other,Other
516358680,Traffic jam- cars in a row,155,Europe,other,Other
962822382,Industrial air pollution - factories near Middlesbrough releasing smoke in the environment,156,Middlesbrough|UK|England,chimney,Chimney
1465195113,Man wearing N95 Respiratory Protection Mask feels headaches and cough due to air pollution when walking in the market. Air pollution caused health problems. environmental pollution concept.,157,Guangdong Province|Thailand|Bangkok|Asia,masks,Masks
496402539,Glow light of petrochemical industry on sunset.,158,Germany,other,Other
913299034,Jakarta city skyline.  Indonesian travel and sightsee in urban central city with highrise buildings and bright light.,159,Java|Jakarta|Indonesia|Asia,foggy_city,Foggy city
509535462,Night Time Traffic Jam In Central London,160,London - England,car_traffic,Car traffic
1207725937,Woman with mask using phone on bus stop,161,Serbia,other,Other
820389846,"Smog in winter time in Warsaw, Poland",162,Poland,foggy_city,Foggy city
157567651,Metropolitan Cityscape New York,163,USA|New York State|Manhattan - New York City|Empire State Building|Top Of The Rock|New York City,foggy_city,Foggy city
1202660304,old delhi view from jama masjid,164,South Asia|New Delhi|Delhi Jama Masjid Mosque|Delhi|India|Asia,foggy_city,Foggy city
157190506,Ethiopian smoking public bus,165,Horn of Africa|Ethiopia|Addis Ababa|Africa,other,Other
1284022016,Smog,166,Germany,chimney,Chimney
1028243608,Close-up of car exhaust pipe,167,Slovenia,other,Other
1160846933,Downtown Los Angeles skyscrapers at smoggy sunrise,168,California|City Of Los Angeles|Hollywood - California|Los Angeles County|USA,foggy_city,Foggy city
472067517,Denver Colorado vehicle tail pipe auto exhaust at busy intersection,169,Denver|Colorado,exhaust,Exhaust
1209025695,Worried Woman With Protective Face Mask In Bus Transport.,170,,masks,Masks
1397255227,Cars riding on a city street in a foggy autumn morning,171,Poland,car_traffic,Car traffic
1324921408,Smoke emission from powerfull SUV car with exhaust pipe,172,Germany,other,Other
1091733318,Air Pollution,173,Shanghai|India|Delhi|South Korea|Asia,foggy_city,Foggy city
1128162568,Group of many salary man wearing face mask for protect micro dust in air while going to their workplace during pm2.5 air pollution crisis in Bangkok at moring rush hour.,174,Thailand|Bangkok,other,Other
1177202536,"Researching in the woods with a magnifying glass for the industry. Global warming, environmental exploitation and pollution concept.",175,Austria,other,Other
1299118371,Detail of a modern power plant fueled with coal and biomass,176,China - East Asia,chimney,Chimney
1466586138,broken heater or ac,177,Asia|Taiwan,other,Other
536030423,Smoke.,178,,chimney,Chimney
139398631,Rush Hour,179,California|City Of Los Angeles|Los Angeles County,other,Other
873551900,Smog over noida delhi gurgaon in the morning,180,Delhi|India,other,Other
1202442634,Young man wearing medical face mask to protect from spreading coronavirus outbreak infection in dark room and thinking of virus attack.,181,India|Asia,other,Other
531423430,Senior Man Wearing Air Filter Mask,182,Europe|Paris - France|France,masks,Masks
991470892,Pregnancy Pollution Risk,183,Canada,other,Other
462714783,Denver Brown Cloud,184,Denver|Colorado,foggy_city,Foggy city
1192623081,child girl in a mask and her parent helping her to wear a mask,185,India,masks,Masks
1386653746,Wearing of facemask is essential due to COVID-19.,186,Malaysia,masks,Masks
476187976,Dust on finger,187,,devices,Devices
1179600303,Climate change and Children future,188,Thailand,other,Other
1340874584,Smoke detector and interlinked fire alarm in action background,189,UK,devices,Devices
1459113130,"Back view of a child wearing winter clothes standing in front of wild landscape and factories on background - Activism and environmental protection concept - Childhood, future for the new generations",190,Italy,other,Other
1186896367,Severe smog due to air polution causing very less visibility,191,Faridabad|Pakistan|India|Pune|Kanpur|New Delhi|Noida|Karachi|South Asia|Delhi|Gurugram|Peshawar|Lahore - Pakistan|Rawalpindi|Punjab - India|China - East Asia|Asia|Punjab - Pakistan,foggy_city,Foggy city
1176274569,in door air quality check. measuring dust particles in the air. harmful PM 2.5 (particulate matter) small dirty dust harmful to health. unhealthy working environment in a building.,192,Thailand,devices,Devices
958709520,Eco friendly industry concept. 3d rendering of green factory icon on fresh spring meadow with blue sky in background.,193,,other,Other
157524821,Cooling towers at a coal fueled power station.,194,UK|Ratcliffe Upon Soar|Nottingham,chimney,Chimney
1208637836,Woman with face protective mask,195,,masks,Masks
1210745572,environmental pollution concept of smog and cityscape,196,Istanbul|Türkiye - Country,foggy_city,Foggy city
1210357415,Asian woman and her daughter wearing masks in city street,197,Hong Kong|China - East Asia|Asia,masks,Masks
1255866200,"Woman playing with Dog Pug Breed and Air purifier in cozy white living room for filter and cleaning removing dust PM2.5 HEPA in home,for fresh air and healthy life,Air Pollution Concept",198,,other,Other
1360755995,"Phoenix, Arizona Smog Layer",199,Phoenix - Arizona|Arizona|USA,foggy_city,Foggy city
1157748372,Measure outdoor air quality. Handheld particulate 2.5 (pm.2.5) sensor. Harmful small dust detector,200,China - East Asia|Asia,devices,Devices
1218111421,Young woman engineer in the mask on protected herself with air pollution & virus,201,Thailand,masks,Masks
1218320296,Coronavirus and Air pollution pm2.5 concept.Little Indian girl wearing mask for stop corona virus outbreak.Wuhan coronavirus and epidemic virus symptoms.,202,India|Asia,masks,Masks
922658526,Factory chimneys emitting air pollutions,203,Germany,chimney,Chimney
1342420354,Extremely foggy night time conditions at a junction of two B roads,204,Glossop|England|UK|Sheffield,foggy_city,Foggy city
1305361225,"Lower CO2 emissions to limit global warming and climate change. Concept with manager hand turning knob to reduce levels of CO2. New technology to decarbonize industry, energy and transport",205,Germany,other,Other
1173513804,Stubble burning,206,India,chimney,Chimney
1367894516,West Virginia Coal Fired Power Plant,207,West Virginia - US State|USA,chimney,Chimney
1165546605,"Atmospheric Smoke, Fog, cloud, smooth Movement, Modern abstract background animation 3d render",208,Thailand,other,Other
1438555539,Ozone hole. Concept of air leakage from planet Earth to space. Elements of this image furnished by NASA.,209,USA,other,Other
1620960317,Dirty smoke from industrial chimneys,210,UK,chimney,Chimney
503948602,Roadrunners excercising in Central London,211,London Bridge - England|Europe|City of London|UK|London - England,masks,Masks
175539556,Air Pollution on Sao Paulo city,212,Latin America|South America|Brazil|São Paulo|São Paulo State,foggy_city,Foggy city
170205393,Industrial Chimney Effluent,213,Scotland|UK,other,Other
1212895877,Schoolgirl and schoolboy wearing protective face mask to protect from virus,214,India,masks,Masks
1191091657,"The imposing cooling towers of a Power Station near Drax in North Yorkshire, UK, with plumes of water vapour hitting the cold night air in Winter.",215,UK|England|North Yorkshire,chimney,Chimney
1296355747,Aerial View of Petrochemical Plant and Oil Refinery Industry at Night,216,China - East Asia|Beijing,foggy_city,Foggy city
1393275788,Air pollution monitor pm2.5 installed in parks.,217,Thailand,other,Other
1350423629,Good air quality indoor smart home domotic touchscreen system. air. Woman touching touchscreen checking air purifier filter at green level with thumbs up graphics,218,USA,devices,Devices
1353812987,"Sunrise, Mawlamyine",219,Southeast Asia|Myanmar|Asia,foggy_city,Foggy city
1303386937,Explosion and fire at an oil refinery,220,St. John - New Brunswick|New Brunswick - Canada|Canada,other,Other
1308898488,"Air Purifier In Modern Open Plan Office For Fresh Air, Healthy Life, Cleaning And Removing Dust.",221,USA,other,Other
108177780,Montana Forest Fire 2007,222,Western USA|Montana - Western USA,chimney,Chimney
184098109,big power plant,223,Germany,chimney,Chimney
636068478,"Avenue 23 de Maio in Sao Paulo, Brazil",224,São Paulo|São Paulo State|Latin America|South America|Brazil|Avenida Paulista|The Americas,foggy_city,Foggy city
862188428,Indoor air pollutants against a buildings background - concetp image with copy space,225,Italy,other,Other
1045981944,Oil Refinery and Petrochemical Plant at Grangemouth in Scotland,226,Grangemouth Petrochemical Plant|Grangemouth|Scotland|UK,chimney,Chimney
1178103107,woman has running nose,227,Taiwan|Asia,masks,Masks
910318690,Smoke Billows from Oil Refinery Chimneys,228,USA,other,Other
136919015,XL air pollution,229,,chimney,Chimney
509435752,"Sunset over Dhaka, Bangladesh",230,Bangladesh|Dhaka|Asia,foggy_city,Foggy city
885559274,Misty morn over Mumbai,231,Maharashtra|India|Mumbai|Asia,foggy_city,Foggy city
186964421,Downtown Los Angeles,232,California|Los Angeles County|The Americas|City Of Los Angeles|USA,foggy_city,Foggy city
1340348680,"Image of sunlight breaking through clouds over cityscape view of New Delhi, Uttar Pradesh, India, Indian apartment block rooves surrounded by polluted foggy misty sky, hazy sky pollution caused by car fumes exhausts and factory emissions",233,New Delhi|India,foggy_city,Foggy city
659788570,Air pollution from vehicle exhaust pipe on road,234,Thailand,exhaust,Exhaust
1356368918,Industrial landscape in the port of Rotterdam with clouds above,235,Netherlands|Rotterdam,other,Other
1143748789,measuring air quality. particulate matter 2.5 (pm.2.5),236,Thailand|Central District - Hong Kong|Asia,devices,Devices
1496822684,The Triborough Bridge along the East River in New York City with Massive Air Pollution from Wildfires,237,Queens - New York City|USA|New York City,other,Other
1185230638,asian elderly sick man cough,238,Taiwan,masks,Masks
159406920,Aerial view of cars in traffic,239,Australia,car_traffic,Car traffic
1278911675,Forest in a shape of lungs - deforestation,240,Slovenia,other,Other
643097046,Kids going to school in the smog,241,Poland,masks,Masks
483956893,Berlin skyline,242,Berlin Town Hall|West Berlin|Germany|Berlin,foggy_city,Foggy city
537061697,Power Station Chimneys,243,,chimney,Chimney
651353058,Woman in protective mask outdoors,244,Ukraine,masks,Masks
1322139039,Aerial View of Power Station at Sunset,245,Gansu Province|China - East Asia,chimney,Chimney
1174816354,Ultra low emission ULEZ Zone sign London UK,246,UK|London - England,other,Other
869996374,Large heap of garbage dump,247,Delhi|India,other,Other
1220760434,Face mask hanging on computer screen in an empty office,248,Poland,other,Other
1129873101,"White smoke going up from the chimney of steel plant of  Taranto, Puglia. Italy",249,Puglia|Italy|Southern Italy|Europe|Taranto Province,chimney,Chimney
1208826151,Air Pollution in the City,250,,masks,Masks
489775981,"Delhi, aerial view",251,India|Delhi,other,Other
1204304023,Woman In Town Wearing Protective Face Mask.,252,,masks,Masks
181891741,Man is working in the splashing molten iron,253,Asia,other,Other
511198768,Air emissions and global warming,254,,chimney,Chimney
628551530,"Smog, Coal-fired Power Station, factory in the middle of city",255,Europe|Krakow,foggy_city,Foggy city
1210788455,"A diesel particulate filter in the exhaust system in a car on a lift in a car workshop, seen from below.",256,Germany,other,Other
1383890797,"Sunset over The City of London, United Kingdom",257,England|Canary Wharf|Europe|City of London|Central London|UK|London - England,foggy_city,Foggy city
1143748756,measuring outdoors air quality. A hand holding particulate matter 2.5 (pm.2.5) sensor. harmful small dust detector indicated healthy acceptable air quality. blur background of blue green plants.,258,Thailand,devices,Devices
1368358862,Sustainable development and green business based on renewable energy. Reduce CO2 emission concept. Renewable energy-based green businesses can limit climate change and global warming.,259,,other,Other
1329455196,"Brown coal-fired power station amongst native trees and hills, emitting smoke and heat",260,Gippsland|Australia|Victoria - Australia,chimney,Chimney
626388592,Hand write a check list of indoor air pollutants,261,,other,Other
509932794,Los Angeles Skyline,262,Beverly Hills - California|USA|Southern California|California|City Of Los Angeles|Hollywood - California|Los Angeles County,other,Other
1331942208,A conceptual image showing a lung-shaped lake in a lush and pristine jungle. 3d rendering.,263,,other,Other
1334994514,Close-up of a pregnant belly with a city street on the background,264,Spain,masks,Masks
1212900084,Schoolboy wearing protective face mask to protect from virus,265,India,masks,Masks
623781366,Los Angeles Traffic Jam Overlooking Downtown Skyline,266,Southern California|California|City Of Los Angeles|Los Angeles County,car_traffic,Car traffic
1009490216,Smoke from the power station,267,China - East Asia,other,Other
172771629,Low emission zone in London,268,London - England,other,Other
1320343074,Smartphone with environment icons,269,Ukraine,other,Other
1444359243,"Steam Pipes in New York City. Steam system on street. Manhattan, New York City. USA.",270,New York City,car_traffic,Car traffic
1178513219,hazardous air environmental quality problem.,271,Thailand|Bangkok,devices,Devices
1353691436,From above view of the Mosques of Sultan Hassan and Al-Rifai in Cairo.,272,Arabia|Africa|Egypt|West Asia|North Africa|Cairo,foggy_city,Foggy city
1308472095,"A diesel particulate filter in the exhaust system in a car on a lift in a car workshop, seen from below.",273,Germany,other,Other
491223486,"Pollution. Environmental problem. Father, son looking on emissions of plant.",274,Europe,other,Other
990863668,smoke from industrial pipes,275,UK,other,Other
1089075402,Industrial Area With Heavy Air Pollution,276,Türkiye - Country,other,Other
1081582458,Cyclist commuter wearing a pollution-mask in Central London,277,Europe|City of London|UK|London - England|Hackney,other,Other
503920162,Cyclist commuter wearing a pollution-mask in Central London,278,Europe|City of London|UK|London - England|Hackney,other,Other
1389005386,Air Purifier In Modern Open Plan Office For Fresh Air And Healthy Life,279,USA,other,Other
963044086,Polution And Bushfire Smoke,280,Melbourne - Australia|Australia|Australasia|Victoria - Australia,foggy_city,Foggy city
1201478111,Flying over London's city centre,281,England|City of London|Central London|Waterloo Railway Station - London|UK|London - England|Tower Bridge,other,Other
1282387982,Wildfire Fire Burns East Of Los Angeles covering the area in smoke,282,Los Angeles County|USA,other,Other
1357927357,Birmingham Night Skyline,283,Birmingham - England|UK,other,Other
1300089883,Air pollution. Smog and fine dust of pm2.5 covered city in the morning with orange sunrise sky. Cityscape with polluted air. Dirty environment. Urban toxic dust. Unhealthy air. Urban unhealthy living.,284,Thailand|Asia,foggy_city,Foggy city
1329387319,Traffic Jam,285,USA|City Of Los Angeles|Los Angeles County|Reseda - City Of Los Angeles|Van Nuys|Calabasas,car_traffic,Car traffic
1389388493,mother and daughter wearing masks are traveling,286,China - East Asia,other,Other
852229954,teenager boy in protection mask on the highway city,287,Beijing|Russia|China - East Asia|Asia,masks,Masks
1218039534,Young asian woman wearing protective face mask in city due to the polluted air or pm 2.5 and Coronavirus disease or COVID-19 outbreak situation in Hong Kong China and all of landmass in the world.,288,Hong Kong|China - East Asia|Asia,masks,Masks
1343035804,Diesel particulate filter. DPF under the hood,289,Kyrgyzstan,other,Other
836121190,hand holding Air quality detector,290,China - East Asia,devices,Devices
1204686162,woman wearing a mask to protect from viruses,291,,masks,Masks
1134166873,Sunset Traffic,292,Australia|Melbourne - Australia,other,Other
530809659,Fire,293,,chimney,Chimney
1425552343,Aerial view of modern coal fired power station,294,Germany|Niederaussem,other,Other
497703488,Badges for environmental zone - fine dust stickers,295,,other,Other
1136099546,woman closes her nose with hand because of bad traffic pollution,296,Thailand|Asia,masks,Masks
